customer_id,customer_name,city,state,registration_date,customer_segment
1,Customer_1,Columbus,OH,2023-10-17,VIP
2,Customer_2,Miami,CA,2022-04-25,Premium
3,Customer_3,Atlanta,FL,2022-01-26,Premium
4,Customer_4,Chicago,OH,2022-10-09,Standard
5,Customer_5,Columbus,IL,2022-09-08,Premium
6,Customer_6,Detroit,TX,2022-08-17,Standard
7,Customer_7,Houston,NC,2022-05-23,Premium
8,Customer_8,Columbus,NY,2022-04-15,Premium
9,Customer_9,Atlanta,NY,2023-11-24,VIP
10,Customer_10,Chicago,GA,2023-07-13,VIP
11,Customer_11,Miami,IL,2022-03-31,Premium
12,Customer_12,Atlanta,OH,2023-08-28,Standard
13,Customer_13,Atlanta,NC,2023-03-09,Premium
14,Customer_14,Houston,NY,2022-02-02,Standard
15,Customer_15,Seattle,OH,2022-01-31,Standard
16,Customer_16,Chicago,OH,2022-04-06,VIP
17,Customer_17,New York,FL,2022-08-12,VIP
18,Customer_18,Atlanta,OH,2022-08-27,Standard
19,Customer_19,Seattle,FL,2023-06-02,Standard
20,Customer_20,New York,NC,2023-09-09,Premium
21,Customer_21,Chicago,FL,2022-01-28,VIP
22,Customer_22,Los Angeles,CA,2023-07-29,Premium
23,Customer_23,Detroit,WA,2022-07-23,Standard
24,Customer_24,Seattle,IL,2023-10-28,Standard
25,Customer_25,Charlotte,FL,2023-12-20,Standard
26,Customer_26,Los Angeles,TX,2023-07-13,Premium
27,Customer_27,Detroit,FL,2023-03-06,VIP
28,Customer_28,Houston,CA,2022-08-14,Premium
29,Customer_29,Columbus,IL,2023-04-05,Standard
30,Customer_30,Miami,NY,2023-08-27,Standard
31,Customer_31,Charlotte,OH,2022-10-12,VIP
32,Customer_32,Houston,NC,2022-01-07,Standard
33,Customer_33,Chicago,WA,2022-06-13,Premium
34,Customer_34,Houston,WA,2023-12-16,Premium
35,Customer_35,Columbus,MI,2023-03-09,VIP
36,Customer_36,Chicago,MI,2022-12-15,Premium
37,Customer_37,Charlotte,TX,2022-10-12,VIP
38,Customer_38,Columbus,GA,2022-06-09,Premium
39,Customer_39,New York,TX,2022-08-09,Premium
40,Customer_40,Miami,FL,2022-12-11,Premium
41,Customer_41,Charlotte,TX,2022-04-15,Premium
42,Customer_42,New York,NY,2022-04-05,VIP
43,Customer_43,Detroit,CA,2023-01-25,Premium
44,Customer_44,Charlotte,CA,2022-04-10,Premium
45,Customer_45,Detroit,CA,2023-01-03,Standard
46,Customer_46,Chicago,MI,2022-12-19,Standard
47,Customer_47,New York,IL,2023-09-11,VIP
48,Customer_48,Miami,MI,2022-09-28,Standard
49,Customer_49,Columbus,CA,2022-02-14,VIP
50,Customer_50,Atlanta,IL,2023-04-16,Premium
51,Customer_51,Houston,FL,2023-07-04,VIP
52,Customer_52,Los Angeles,NY,2022-05-08,Premium
53,Customer_53,Miami,TX,2023-01-23,VIP
54,Customer_54,New York,GA,2022-03-22,VIP
55,Customer_55,Atlanta,TX,2023-07-20,Standard
56,Customer_56,Miami,TX,2022-10-28,Standard
57,Customer_57,New York,NY,2023-10-06,Standard
58,Customer_58,Seattle,IL,2023-09-26,VIP
59,Customer_59,Seattle,NY,2023-01-06,VIP
60,Customer_60,Detroit,MI,2023-08-15,Premium
61,Customer_61,Miami,MI,2022-07-16,VIP
62,Customer_62,Seattle,OH,2023-12-23,Standard
63,Customer_63,New York,MI,2022-03-13,Premium
64,Customer_64,Detroit,GA,2022-02-16,VIP
65,Customer_65,New York,WA,2023-11-09,Premium
66,Customer_66,Detroit,NC,2022-08-22,VIP
67,Customer_67,Miami,IL,2022-10-24,VIP
68,Customer_68,Atlanta,WA,2022-03-23,VIP
69,Customer_69,Columbus,FL,2022-08-27,Premium
70,Customer_70,Charlotte,NC,2022-04-14,Premium
71,Customer_71,Atlanta,NY,2023-01-25,Premium
72,Customer_72,Chicago,CA,2022-10-12,Standard
73,Customer_73,New York,WA,2023-04-10,VIP
74,Customer_74,Chicago,WA,2023-10-13,Standard
75,Customer_75,Atlanta,WA,2023-01-09,VIP
76,Customer_76,Detroit,WA,2022-06-16,Standard
77,Customer_77,Charlotte,FL,2023-01-15,Premium
78,Customer_78,Charlotte,NC,2022-12-30,Standard
79,Customer_79,Los Angeles,OH,2022-08-03,Standard
80,Customer_80,Charlotte,GA,2023-11-18,VIP
81,Customer_81,Columbus,GA,2022-10-01,Premium
82,Customer_82,Charlotte,MI,2023-12-20,VIP
83,Customer_83,Atlanta,FL,2023-12-01,VIP
84,Customer_84,Los Angeles,WA,2023-10-26,VIP
85,Customer_85,Atlanta,OH,2022-03-15,Premium
86,Customer_86,Atlanta,WA,2023-09-16,Standard
87,Customer_87,Houston,WA,2023-10-13,Standard
88,Customer_88,Los Angeles,OH,2022-06-25,Premium
89,Customer_89,Atlanta,NC,2023-07-01,Premium
90,Customer_90,Houston,GA,2022-09-08,VIP
91,Customer_91,Houston,TX,2022-06-17,Standard
92,Customer_92,Los Angeles,TX,2023-04-19,Standard
93,Customer_93,Chicago,NY,2023-01-24,VIP
94,Customer_94,Detroit,WA,2022-10-04,Standard
95,Customer_95,Columbus,OH,2023-10-18,Standard
96,Customer_96,Detroit,NC,2023-12-06,Premium
97,Customer_97,Charlotte,WA,2023-07-25,Standard
98,Customer_98,Columbus,NC,2022-08-13,Premium
99,Customer_99,Charlotte,NY,2023-12-03,Premium
100,Customer_100,Atlanta,FL,2022-11-29,Premium
101,Customer_101,New York,CA,2022-02-27,Standard
102,Customer_102,Los Angeles,WA,2022-08-23,Standard
103,Customer_103,Columbus,TX,2022-02-02,Premium
104,Customer_104,Columbus,MI,2022-11-20,Standard
105,Customer_105,Atlanta,WA,2023-02-15,VIP
106,Customer_106,Chicago,CA,2022-10-02,VIP
107,Customer_107,Houston,GA,2022-03-09,Premium
108,Customer_108,Atlanta,WA,2022-08-05,VIP
109,Customer_109,Seattle,OH,2023-08-04,Standard
110,Customer_110,Houston,NC,2022-11-19,Premium
111,Customer_111,Los Angeles,FL,2022-08-06,Standard
112,Customer_112,Houston,FL,2023-11-03,VIP
113,Customer_113,Chicago,MI,2023-05-27,Premium
114,Customer_114,Houston,FL,2023-02-10,Standard
115,Customer_115,Los Angeles,NY,2023-10-21,Standard
116,Customer_116,Chicago,TX,2023-04-15,Standard
117,Customer_117,Detroit,WA,2022-05-27,VIP
118,Customer_118,Columbus,NY,2022-09-29,VIP
119,Customer_119,Columbus,NC,2022-05-23,VIP
120,Customer_120,Charlotte,MI,2022-09-10,Premium
121,Customer_121,Detroit,TX,2023-07-29,Standard
122,Customer_122,Detroit,MI,2023-07-06,Standard
123,Customer_123,Houston,TX,2022-09-27,Standard
124,Customer_124,Columbus,WA,2023-08-22,Standard
125,Customer_125,Los Angeles,NY,2023-03-15,VIP
126,Customer_126,Miami,FL,2023-08-21,Standard
127,Customer_127,Miami,CA,2023-02-13,VIP
128,Customer_128,Chicago,FL,2023-01-06,VIP
129,Customer_129,Columbus,IL,2022-08-13,VIP
130,Customer_130,Columbus,IL,2022-05-22,VIP
131,Customer_131,Miami,MI,2023-06-06,Premium
132,Customer_132,Columbus,NY,2023-05-21,Premium
133,Customer_133,Houston,NC,2022-04-04,Premium
134,Customer_134,Seattle,OH,2022-02-18,VIP
135,Customer_135,New York,FL,2022-04-23,Premium
136,Customer_136,Detroit,IL,2022-06-06,Premium
137,Customer_137,Charlotte,CA,2023-10-05,Premium
138,Customer_138,Chicago,MI,2022-06-13,Standard
139,Customer_139,Seattle,IL,2023-11-28,Premium
140,Customer_140,Miami,WA,2023-03-09,Premium
141,Customer_141,Detroit,IL,2023-09-03,VIP
142,Customer_142,Columbus,WA,2022-03-07,Premium
143,Customer_143,Charlotte,OH,2023-01-30,VIP
144,Customer_144,Columbus,WA,2023-01-26,VIP
145,Customer_145,Los Angeles,MI,2023-09-03,Premium
146,Customer_146,Los Angeles,NY,2023-04-25,VIP
147,Customer_147,Charlotte,NY,2023-06-26,VIP
148,Customer_148,Charlotte,NC,2022-09-15,VIP
149,Customer_149,Miami,WA,2023-07-21,VIP
150,Customer_150,Charlotte,MI,2022-01-12,Premium
151,Customer_151,Houston,FL,2023-11-28,Standard
152,Customer_152,Columbus,MI,2022-04-28,VIP
153,Customer_153,Seattle,IL,2023-11-30,Premium
154,Customer_154,Atlanta,IL,2023-07-04,Standard
155,Customer_155,Charlotte,GA,2022-10-01,Premium
156,Customer_156,Chicago,IL,2023-10-19,VIP
157,Customer_157,Los Angeles,NY,2022-12-15,Standard
158,Customer_158,Houston,NY,2022-04-25,VIP
159,Customer_159,Detroit,IL,2022-10-28,Standard
160,Customer_160,Atlanta,FL,2023-03-22,VIP
161,Customer_161,Seattle,NY,2022-06-11,VIP
162,Customer_162,Atlanta,WA,2023-04-10,Premium
163,Customer_163,Charlotte,GA,2022-01-04,Standard
164,Customer_164,Miami,NY,2022-09-27,Premium
165,Customer_165,Los Angeles,MI,2023-05-28,Standard
166,Customer_166,Los Angeles,OH,2022-07-02,VIP
167,Customer_167,Detroit,FL,2023-06-04,VIP
168,Customer_168,Miami,IL,2022-04-19,VIP
169,Customer_169,Columbus,NY,2023-10-03,Standard
170,Customer_170,New York,MI,2022-11-02,Premium
171,Customer_171,Houston,NC,2023-10-17,VIP
172,Customer_172,Los Angeles,TX,2023-06-04,Premium
173,Customer_173,Chicago,MI,2023-09-16,Standard
174,Customer_174,Los Angeles,CA,2022-07-23,Standard
175,Customer_175,Atlanta,FL,2022-06-06,VIP
176,Customer_176,Los Angeles,CA,2023-01-18,Premium
177,Customer_177,Los Angeles,WA,2022-06-15,Premium
178,Customer_178,New York,FL,2023-07-07,Standard
179,Customer_179,New York,FL,2023-06-28,Premium
180,Customer_180,Seattle,NC,2022-01-01,VIP
181,Customer_181,Columbus,NC,2023-09-06,Standard
182,Customer_182,Chicago,OH,2022-11-28,Premium
183,Customer_183,Los Angeles,FL,2023-05-16,Premium
184,Customer_184,Los Angeles,NC,2022-01-20,Standard
185,Customer_185,Houston,IL,2022-04-25,Premium
186,Customer_186,New York,MI,2023-01-07,VIP
187,Customer_187,Chicago,FL,2022-11-11,VIP
188,Customer_188,Detroit,IL,2022-09-03,Standard
189,Customer_189,Seattle,NC,2022-03-01,Premium
190,Customer_190,Columbus,CA,2022-09-04,VIP
191,Customer_191,Miami,OH,2023-08-04,Standard
192,Customer_192,Columbus,NC,2022-03-22,Standard
193,Customer_193,Atlanta,CA,2022-03-29,Standard
194,Customer_194,Los Angeles,TX,2023-05-13,VIP
195,Customer_195,Seattle,OH,2022-03-12,VIP
196,Customer_196,Atlanta,FL,2023-06-30,Premium
197,Customer_197,Chicago,NC,2022-05-09,Standard
198,Customer_198,Miami,MI,2022-05-12,Standard
199,Customer_199,New York,GA,2023-11-07,Premium
200,Customer_200,Seattle,MI,2023-05-02,VIP
201,Customer_201,Seattle,FL,2023-07-17,VIP
202,Customer_202,Los Angeles,TX,2022-06-19,VIP
203,Customer_203,Charlotte,IL,2022-09-29,Premium
204,Customer_204,Seattle,OH,2023-06-25,VIP
205,Customer_205,Houston,WA,2023-09-14,VIP
206,Customer_206,Miami,OH,2023-03-10,VIP
207,Customer_207,Miami,IL,2022-08-05,Premium
208,Customer_208,Houston,NY,2023-07-07,Standard
209,Customer_209,Detroit,IL,2023-12-08,Standard
210,Customer_210,Houston,OH,2022-07-25,VIP
211,Customer_211,Houston,CA,2024-01-01,Standard
212,Customer_212,Miami,IL,2022-11-16,VIP
213,Customer_213,Columbus,FL,2023-02-13,VIP
214,Customer_214,Miami,OH,2023-11-19,Standard
215,Customer_215,Charlotte,WA,2023-10-28,Premium
216,Customer_216,Los Angeles,OH,2023-01-18,VIP
217,Customer_217,Atlanta,FL,2023-03-25,VIP
218,Customer_218,Columbus,IL,2023-06-14,Standard
219,Customer_219,New York,GA,2023-04-08,VIP
220,Customer_220,Atlanta,TX,2022-05-04,Premium
221,Customer_221,Los Angeles,FL,2022-09-11,Premium
222,Customer_222,Charlotte,MI,2022-08-19,Premium
