id,value
1589997,997
4225939,939
2056034,34
166305,305
563351,351
2831099,99
1062976,976
3827093,93
2814908,908
3948161,161
540131,131
4211118,118
1212449,449
1699677,677
661229,229
2472990,990
104775,775
4771796,796
2984808,808
4200529,529
3256813,813
2371563,563
3807458,458
1350299,299
3501954,954
2844484,484
378410,410
3284988,988
1504840,840
2339745,745
2585909,909
4552671,671
2475249,249
946084,84
4668966,966
4058973,973
723487,487
1302997,997
2424251,251
4073082,82
1405735,735
356183,183
4190451,451
1122737,737
3522608,608
1194136,136
567358,358
2035539,539
4825865,865
4630734,734
3040064,64
3152479,479
1936415,415
183102,102
1993630,630
4599231,231
570135,135
362195,195
1118556,556
2515704,704
1347956,956
1105771,771
4777470,470
433221,221
1090731,731
3718365,365
4788479,479
374957,957
3085957,957
3642212,212
2372850,850
1462414,414
3497087,87
837269,269
2625618,618
4245525,525
2005080,80
4622439,439
3454243,243
617008,8
1660733,733
788126,126
1084234,234
3424162,162
3147334,334
3855602,602
4708510,510
917493,493
4424009,9
2240181,181
856881,881
3176589,589
2370119,119
940730,730
2289254,254
1946668,668
3602834,834
745309,309
3041589,589
1848688,688
196032,32
4597321,321
4867963,963
2396894,894
4694024,24
3961221,221
2728904,904
3177414,414
4814406,406
3917670,670
1211648,648
492422,422
2420642,642
3919213,213
394927,927
126571,571
3331671,671
781543,543
2713255,255
2286550,550
3485249,249
391149,149
4827881,881
3622624,624
3490158,158
1052098,98
784958,958
4192378,378
1690083,83
366764,764
2665853,853
300071,71
346191,191
4540170,170
3824979,979
4198091,91
3599498,498
4203407,407
1420140,140
477454,454
3112933,933
4043502,502
1722758,758
2054737,737
4711033,33
2403180,180
2396528,528
4926494,494
4789801,801
2095258,258
1133113,113
30078,78
499061,61
2032052,52
692681,681
1811819,819
854310,310
2300622,622
2381627,627
2653187,187
3980165,165
2905936,936
3840779,779
4988138,138
3449124,124
2588129,129
4409461,461
1283585,585
1877625,625
1191853,853
2534221,221
4304250,250
2319767,767
2244602,602
4509541,541
2711413,413
1790778,778
2793520,520
3076148,148
2470785,785
2219858,858
4668401,401
4432714,714
3876241,241
4726365,365
915725,725
3286594,594
945446,446
632252,252
3780106,106
396677,677
2859659,659
4832686,686
2102101,101
3962215,215
2077170,170
4595102,102
4931471,471
430088,88
1681037,37
2929882,882
3312179,179
3245021,21
3718395,395
1686475,475
2409309,309
3141618,618
4582426,426
787842,842
2918105,105
4136681,681
2038258,258
4607595,595
721673,673
1413632,632
736542,542
545307,307
2132882,882
2164856,856
760390,390
897371,371
1019418,418
2456604,604
2196648,648
1993693,693
4020696,696
4836130,130
2157945,945
2721009,9
1569780,780
3098506,506
1844104,104
1649943,943
4666586,586
480100,100
2011724,724
1150921,921
4238063,63
1701647,647
164765,765
2501161,161
349130,130
2590369,369
4036955,955
4436995,995
4387719,719
3997466,466
4967270,270
4565828,828
2733479,479
3193937,937
4273679,679
3259963,963
3489329,329
328793,793
2958139,139
3483197,197
2508641,641
3946032,32
4652810,810
4379263,263
3718752,752
3893673,673
2687682,682
4600713,713
3281893,893
3246137,137
1661038,38
238919,919
4650121,121
1203597,597
3434515,515
301058,58
2175371,371
4937381,381
2754195,195
581463,463
139355,355
4004433,433
2584396,396
2796748,748
1332890,890
1346294,294
1227563,563
2050915,915
2629260,260
2803551,551
4707006,6
1457064,64
2654269,269
4496433,433
686090,90
2745150,150
3022618,618
3951787,787
1011844,844
1921823,823
989404,404
4317139,139
1986473,473
3033515,515
2582063,63
291462,462
2969482,482
1456136,136
1132285,285
4620879,879
2292263,263
3674485,485
4250874,874
2377098,98
4469929,929
1684053,53
2278174,174
1046273,273
307877,877
2481821,821
1573800,800
2943605,605
757841,841
4154020,20
3438829,829
2166079,79
2289555,555
2461923,923
4355803,803
1672251,251
99542,542
2928702,702
2615587,587
4257757,757
4533949,949
3425625,625
663862,862
2697016,16
1118148,148
360380,380
3357217,217
3802309,309
3123946,946
3951595,595
3352246,246
1398863,863
4572455,455
1759377,377
1870323,323
204813,813
892861,861
724483,483
1891379,379
573009,9
2456781,781
1302290,290
2195071,71
3943367,367
1847455,455
3104966,966
4759315,315
3651007,7
3942241,241
2544653,653
578442,442
2469615,615
1466143,143
1351193,193
3765774,774
4589218,218
395866,866
147430,430
4647379,379
1450838,838
105966,966
2451106,106
3809216,216
1619046,46
1360712,712
4954648,648
3672186,186
3982491,491
1537932,932
4416230,230
1934199,199
1502731,731
2082641,641
2923651,651
3799927,927
4876917,917
1719054,54
3055371,371
1527464,464
2414408,408
3099016,16
4336678,678
2534896,896
114468,468
4112978,978
4691359,359
1028367,367
2234874,874
3513516,516
507528,528
4939430,430
2503825,825
4588935,935
3461012,12
384298,298
1174088,88
302746,746
3221973,973
3845986,986
2191609,609
453550,550
2415506,506
1045747,747
1051927,927
2433511,511
4489391,391
1903508,508
3668292,292
3127302,302
69957,957
953753,753
3167628,628
1261787,787
2666746,746
2023495,495
4612075,75
1611903,903
3647543,543
2301373,373
2489485,485
3715436,436
4155693,693
4999709,709
4746163,163
2485913,913
3272684,684
3201459,459
445955,955
4434625,625
2855,855
1314685,685
4276446,446
1766443,443
265675,675
3127536,536
4794549,549
3489043,43
1629853,853
1487553,553
2560652,652
2484232,232
3413853,853
136324,324
2493299,299
4972037,37
539340,340
2194133,133
3129835,835
2261709,709
4318148,148
1429225,225
1912190,190
3871300,300
3440063,63
2312337,337
2808068,68
4851441,441
3776873,873
863769,769
4396305,305
3204855,855
3177897,897
2447768,768
1825743,743
3115303,303
274279,279
4323770,770
3806635,635
4851838,838
836032,32
1290009,9
3762294,294
749464,464
806230,230
11330,330
4355266,266
979352,352
4125144,144
3322992,992
1150193,193
1421558,558
2072375,375
778236,236
2093657,657
4421522,522
653605,605
3826156,156
1879770,770
2569815,815
4839455,455
3471133,133
633635,635
309890,890
2604895,895
4034191,191
2102495,495
1092300,300
2535491,491
1363581,581
409236,236
4352823,823
2999780,780
990732,732
2403152,152
847097,97
4235142,142
2123253,253
2384589,589
2455623,623
1318889,889
1700745,745
3315659,659
635531,531
611841,841
2736973,973
2668082,82
2417612,612
1547487,487
1593596,596
917567,567
4306627,627
2417146,146
786114,114
4954025,25
3811371,371
1534258,258
2579952,952
2458099,99
2170199,199
3086384,384
4130278,278
2676627,627
3011967,967
3550357,357
1669423,423
2146251,251
2387250,250
3956860,860
1145242,242
124188,188
4952189,189
2900194,194
2267909,909
1119116,116
3706084,84
1868467,467
4865468,468
4605987,987
1962662,662
4847565,565
2388040,40
4100747,747
4560235,235
807203,203
4040389,389
3588346,346
3125935,935
1025323,323
2995524,524
1852880,880
1660274,274
651822,822
3684099,99
588053,53
1053612,612
4350607,607
1945251,251
3685770,770
3443974,974
4653913,913
1888124,124
4667598,598
4705192,192
3781368,368
2009474,474
2997718,718
725875,875
4327209,209
4165268,268
2771336,336
4016219,219
241279,279
3430086,86
3199484,484
3696866,866
4331681,681
1853401,401
4683216,216
3255461,461
3128297,297
1107752,752
1894977,977
4031090,90
551661,661
340315,315
874482,482
2708901,901
835453,453
3642114,114
4337890,890
3556863,863
4677505,505
3672380,380
539837,837
4953981,981
121644,644
4314616,616
1715752,752
247491,491
4018185,185
1326979,979
4219496,496
2996183,183
745240,240
3344353,353
950557,557
3500630,630
4005675,675
207093,93
3681237,237
3608089,89
4718722,722
2900636,636
1296701,701
3375450,450
2352401,401
1293365,365
3887337,337
4618485,485
3663372,372
53064,64
4383422,422
3618764,764
1369438,438
4786054,54
4200039,39
3026837,837
3000340,340
1210846,846
4972460,460
424142,142
2137638,638
1692957,957
365124,124
3757498,498
1116244,244
2243841,841
2864657,657
169936,936
4498421,421
2267141,141
1118254,254
10474,474
3975803,803
2299628,628
228307,307
2981299,299
1620130,130
983879,879
192757,757
4620731,731
12014,14
4681955,955
3575602,602
2030095,95
3928382,382
4823754,754
67837,837
3971797,797
2848030,30
4878393,393
4624626,626
3663472,472
3647463,463
2391576,576
923402,402
1226529,529
3054996,996
303841,841
2341759,759
2052456,456
1605793,793
1212050,50
